quarter_period,total_gdp_deflator,real_gdp_index,nominal_gdp_index,gross_operating_surplus,compensation_of_employees,taxes_less_subsidies,property_income_net_row,gross_national_income,unemployment_rate,avg_annual_unemployment_rate,yoy_change_perc,employment_rate,date,real_gdp_index_seasonally_adjusted,cpi_index,inflation_index,core_inflation_index,Deflators of gross domestic product by final use categories,avg_wage_uah,monthly_agri_exp_index,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,inflation_index_seasonally_adjusted
2018Q2,117.2,133.45,156.4,305408.0,446879.0,129511.0,-43927.0,837871.0,"7,4","8,45","-13,95348837",52.5,2018-04-01,133.45144345238094,259.2,99.76666666666667,100.03333333333335,101.56666666666666,9012.0,100.33333333333333,101.56666666666666,101.33333333333333,0.0016563443293623331,0.0080340408594067,100.71818181818183
2018Q3,116.2,134.78,156.62,476708.0,459020.0,142333.0,-67602.0,1010459.0,"10,2","8,45","25,92592593",52.5,2018-07-01,134.7763541666667,262.76666666666665,101.2,101.10000000000001,103.73333333333333,9079.0,100.96666666666665,103.73333333333333,101.06666666666666,0.0013592260531750996,-0.008156556092040865,100.71818181818183
2018Q4,113.5,136.13,154.51,497814.0,487825.0,151982.0,-49138.0,1088483.0,"7,2","8,45","-38,98305085",62.2,2018-10-01,136.12183630952381,272.20000000000005,101.1,100.85,98.1,9867.0,98.69999999999999,98.1,100.3,-0.003296371326012051,-0.026608008680025753,100.71818181818183
2019Q1,112.7,137.49,154.96,299521.0,468986.0,130016.0,-54602.0,843921.0,"9,3","7,925","3,333333333",52.1,2019-01-01,137.50036607142857,280.0,100.8,100.60000000000001,102.76666666666667,9978.333333333334,100.89999999999999,102.76666666666667,99.86666666666667,0.0038985793672429345,-0.0050214304177415,100.32
2019Q2,109.8,138.87,152.48,359038.0,521234.0,134642.0,-40057.0,974857.0,"6,1","7,925","-17,56756757",52.6,2019-04-01,138.87144345238096,283.2,99.86666666666667,100.03333333333335,99.8,10664.333333333334,99.10000000000001,99.8,100.06666666666666,-0.007923440894008565,-0.012548281742038403,100.32
2019Q3,107.7,140.26,151.06,523307.0,527594.0,146522.0,-63014.0,1134409.0,7,"7,925","-31,37254902",57.5,2019-07-01,140.25635416666668,282.7,100.36666666666667,100.60000000000001,101.96666666666665,10650.333333333334,97.96666666666665,101.96666666666665,98.10000000000001,-0.0077431109886456325,-0.029283110814104563,100.32
2019Q4,104.6,141.66,148.18,500027.0,543576.0,152554.0,-50707.0,1145450.0,"9,3","7,925","29,16666667",56.3,2019-10-01,141.65183630952382,285.0,100.1,100.1,95.4,10679.0,98.7,95.4,96.4,-0.0061855670103092,-0.0321285140562247,100.32
2020Q1,105.6,143.08,151.09,288587.0,515071.0,128984.0,-17155.0,915487.0,"10,1","9,175","8,602150538",50.3,2020-01-01,143.09036607142858,285.1666666666667,99.89999999999999,99.8,96.76666666666667,11279.333333333334,100.10666666666667,96.76666666666667,101.46666666666665,0.018948797045143535,0.011407807447411369,100.31666666666666
2020Q2,106.0,144.51,153.18,338607.0,487866.0,123724.0,-64005.0,886192.0,"9,3","9,175","52,45901639",63.7,2020-04-01,144.51144345238095,289.43333333333334,100.63333333333333,100.60000000000001,98.56666666666666,10806.0,100.66666666666667,98.56666666666666,99.16666666666667,-0.012592308214765901,-0.001002254223110867,100.31666666666666
2020Q3,109.1,145.95,159.23,539771.0,549728.0,163554.0,-63267.0,1189786.0,"8,8","9,175","25,71428571",51.8,2020-07-01,145.94635416666668,288.46666666666664,99.8,100.0,101.5,11609.666666666666,100.63333333333333,101.5,101.46666666666665,0.012516332022638634,0.010603586373058966,100.31666666666666
2020Q4,117.8,147.41,173.65,618165.0,606594.0,177577.0,-79518.0,1322818.0,"8,5","9,175","-8,602150538",58.6,2020-10-01,147.40183630952382,295.53333333333336,100.93333333333334,100.86666666666667,103.8,12053.0,104.0,103.8,102.53333333333335,0.00044904759182309964,0.0527234255707811,100.31666666666666
